Age,,Girls,,,,,,,,,,,,Boys,,,,,,,,,,,
months,years,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6
23,1.9,84.9547407817064,0.0341657250812799,0.0218254325780087,77.55,79.34,81.17,83.04,84.95,86.91,88.91,90.96,93.05,86.5507050524415,0.036135804504231,-0.312969626576134,78.71,80.58,82.51,84.5,86.55,88.67,90.86,93.11,95.45
24,2,85.7042435330241,0.0343097957598177,0.0109006191337977,78.21,80.02,81.87,83.77,85.7,87.69,89.71,91.79,93.91,87.2222476527546,0.0362834711619051,-0.316021383029396,79.29,81.18,83.13,85.15,87.22,89.37,91.58,93.87,96.23
25,2.1,85.761593377832,0.0347388494000914,0.00102154282653888,78.17,80.01,81.88,83.8,85.76,87.77,89.83,91.93,94.09,87.1796782199898,0.0367273886435466,-0.317764967112675,79.16,81.07,83.04,85.08,87.18,89.35,91.59,93.91,96.3
26,2.2,86.480892014467,0.034879654755325,-0.00718551667691453,78.8,80.66,82.55,84.49,86.48,88.52,90.6,92.73,94.91,87.7955633954222,0.0368718304603657,-0.318098969625179,79.69,81.62,83.62,85.67,87.8,89.99,92.26,94.6,97.02
27,2.3,87.212923352527,0.0350241144213493,-0.0142792719261741,79.44,81.32,83.24,85.2,87.21,89.27,91.38,93.54,95.76,88.4252485445031,0.0370199516239308,-0.317057232650458,80.23,82.19,84.2,86.28,88.43,90.64,92.94,95.3,97.75
28,2.3,87.9129470801641,0.0351628877692543,-0.0198131413871988,80.05,81.95,83.89,85.88,87.91,90,92.13,94.32,96.56,89.0406368919565,0.0371621744988744,-0.314718045120534,80.76,82.73,84.77,86.87,89.04,91.28,93.6,96,98.47
29,2.4,88.6300263489239,0.0353052047953864,-0.0241676249401011,80.68,82.59,84.56,86.57,88.63,90.74,92.9,95.12,97.39,89.6948024259161,0.0373079582460758,-0.310937036449456,81.32,83.32,85.37,87.5,89.69,91.96,94.31,96.73,99.23
30,2.5,89.3199913425616,0.0354418631353117,-0.0270728682570779,81.27,83.21,85.2,87.23,89.32,91.46,93.65,95.89,98.19,90.356050698982,0.0374478760836395,-0.305969222775484,81.89,83.91,85.99,88.14,90.36,92.65,95.02,97.47,100
31,2.6,90.0296326166018,0.0355819518030718,-0.0287341259944454,81.89,83.85,85.86,87.92,90.03,92.19,94.41,96.68,99,91.0709780764831,0.0375912335445575,-0.299494988288871,82.51,84.55,86.65,88.83,91.07,93.39,95.79,98.27,100.83
32,2.7,90.7122961423256,0.035716412312675,-0.0290553105466068,82.48,84.46,86.5,88.58,90.71,92.9,95.14,97.44,99.79,91.7859161019816,0.0377287605223636,-0.291943115850083,83.12,85.18,87.31,89.51,91.79,94.13,96.56,99.06,101.65
